iter	Passed	Remaining
0	994	297224
1	1818	270978
2	2635	260889
3	3441	254659
4	4259	251294
5	5098	249804
6	5902	247060
7	6724	245457
8	7535	243640
9	8371	242783
10	9251	243058
11	10138	243320
12	10958	241930
13	11950	244126
14	13148	249826
15	14402	255652
16	15516	258306
17	16728	262073
18	17926	265116
19	19163	268284
20	20373	270675
21	21651	273599
22	22896	275757
23	24139	277601
24	25478	280268
25	26679	281156
26	27912	282229
27	29098	282675
28	30270	282876
29	31418	282765
30	32586	282766
31	33708	282307
32	34843	281913
33	35995	281614
34	37219	281808
35	38446	281940
36	39657	281889
37	40849	281643
38	42065	281517
39	43315	281548
40	44618	281861
41	45854	281676
42	47041	281155
43	48046	279545
44	48984	277576
45	49908	275580
46	50829	273615
47	51768	271785
48	52721	270063
49	53645	268229
50	54582	266491
51	55513	264757
52	56442	263044
53	57354	261281
54	58246	259463
55	59144	257702
56	60030	255919
57	60931	254232
58	61863	252695
59	62782	251129
60	63613	249240
61	64455	247424
62	65380	245956
63	66188	244069
64	67051	242417
65	67939	240875
66	69099	240302
67	70380	240120
68	71660	239907
69	73130	240285
70	74463	240169
71	75765	239924
72	77129	239841
73	78384	239391
74	79674	239024
75	81923	241457
76	84242	243973
77	86605	246493
78	88984	248931
79	91316	251120
80	93626	253138
81	95872	254881
82	97875	255892
83	98979	254518
84	100188	253416
85	101384	252282
86	102471	250877
87	103681	249777
88	104889	248670
89	106112	247594
90	107311	246462
91	108480	245260
92	109655	244072
93	110859	242947
94	111899	241467
95	112843	239793
96	113985	238545
97	114961	236961
98	115889	235290
99	117042	234085
100	118139	232769
101	119369	231718
102	120567	230599
103	121751	229454
104	122985	228402
105	124250	227402
106	125340	226080
107	126473	224842
108	127540	223487
109	128719	222334
110	129955	221275
111	131131	220114
112	132135	218667
113	133207	217337
114	134443	216279
115	135708	215262
116	136956	214214
117	138202	213159
118	139426	212069
119	140654	210981
120	141841	209831
121	143135	208837
122	144390	207781
123	145642	206718
124	146961	205745
125	148230	204699
126	149495	203643
127	150783	202615
128	152086	201603
129	153331	200511
130	154586	199428
131	155823	198320
132	157029	197172
133	158299	196102
134	159569	195029
135	160813	193921
136	161811	192520
137	162864	191189
138	163903	189845
139	164846	188395
140	165997	187188
141	167232	186075
142	168431	184921
143	169682	183823
144	170932	182720
145	172133	181565
146	173370	180446
147	174605	179324
148	175725	178084
149	176949	176949
150	178187	175827
151	179390	174669
152	180644	173560
153	181867	172419
154	182964	171159
155	183986	169833
156	184942	168450
157	185870	167048
158	186825	165675
159	187927	164436
160	189181	163330
161	190425	162214
162	191678	161103
163	192863	159935
164	194156	158855
165	195411	157741
166	196656	156618
167	197847	155451
168	199084	154319
169	200353	153211
170	201579	152069
171	202840	150950
172	204064	149804
173	205050	148484
174	206028	147163
175	207077	145895
176	208139	144639
177	209219	143397
178	210348	142190
179	211413	140942
180	212575	139759
181	213817	138628
182	215070	137504
183	216178	136286
184	217414	135149
185	218685	134032
186	219992	132936
187	221261	131815
188	222579	130721
189	223878	129613
190	225182	128507
191	226535	127426
192	227860	126326
193	229214	125240
194	230431	124078
195	231592	122885
196	232769	121701
197	233948	120518
198	235111	119327
199	236186	118093
200	237288	116873
201	238177	115551
202	239104	114251
203	240049	112964
204	240963	111666
205	241892	110378
206	242786	109078
207	243682	107782
208	244582	106492
209	245541	105232
210	246486	103968
211	247440	102711
212	248362	101443
213	249276	100176
214	250205	98918
215	251127	97660
216	252076	96416
217	253209	95243
218	254113	93987
