Student_ID,Age,Class,Math_Score,Science_Score,English_Score,Extracurricular_Score,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Percentage,Career_Field,Subfield
1,16,11th,104,105,90,5,9,9,5,8,2,101,Scientist,Absolute Science
2,17,12th,75,73,104,8,7,9,7,7,2,84,Psychologist,Reality Psychology
3,17,12th,98,100,89,6,8,8,7,8,3,96,Doctor,Complete Medicine
4,16,11th,84,87,104,8,8,6,7,8,3,92,Teacher,Pinnacle Education
5,16,11th,44,37,99,10,9,6,8,7,2,60,Musician,Longevity Music
6,18,12th,95,97,86,6,8,9,7,9,2,93,Doctor,Neurosurgery
7,16,12th,70,66,97,9,7,7,7,6,3,78,Designer,Divine Design
8,18,12th,69,69,94,9,9,5,8,9,2,77,Designer,Biomimetic Design
9,18,12th,95,97,87,6,8,9,6,7,2,93,Engineer,Nanotechnology
10,17,12th,97,105,103,8,9,8,10,8,2,103,Business,Summit Business
11,17,11th,68,79,93,9,8,7,5,9,2,80,Psychologist,Grand Psychology
12,17,12th,81,79,97,7,10,8,5,7,3,86,Teacher,Future Skills Education
13,16,11th,91,78,91,4,8,9,8,6,3,87,Accountant,Perfect Finance
14,18,11th,92,73,99,8,9,8,8,6,3,88,Business,Elite Economy
15,17,12th,83,87,95,8,8,9,4,9,3,88,Teacher,Language Arts
16,16,12th,74,80,95,8,10,6,5,9,3,83,Psychologist,Positive Psychology
17,18,12th,91,75,94,3,9,9,5,6,2,87,Accountant,Summit Finance
18,16,11th,73,81,98,9,9,5,8,9,2,84,Designer,Omniscient Design
19,16,11th,100,102,91,6,7,8,7,8,2,98,Doctor,Universal Medicine
20,16,11th,51,47,95,9,8,6,8,8,3,64,Musician,Dimensional Music
21,17,11th,55,51,93,10,10,8,7,7,2,66,Artist,Ultimate Art
22,18,11th,87,73,101,8,7,8,7,8,3,87,Business,Strategic Planning
23,17,11th,105,98,78,6,7,7,7,8,3,94,Scientist,Dimensional Physics
24,17,12th,91,75,89,8,9,7,7,8,2,85,Business,Ultimate Business
25,18,11th,88,84,97,9,8,9,9,9,3,90,IT Professional,Infinite Computing
26,18,12th,86,87,94,9,9,8,9,7,2,89,IT Professional,Quantum Software
27,16,11th,82,91,100,8,10,8,4,9,3,91,Teacher,Music Education
28,16,11th,99,93,95,6,9,6,4,7,2,96,Pilot,Multidimensional Pilot
29,18,12th,87,90,89,6,7,8,7,7,3,89,Doctor,Reality Medicine
30,18,12th,61,52,100,9,8,6,6,9,3,71,Artist,Divine Art
31,16,11th,91,94,81,7,9,7,4,6,2,89,Engineer,Maximum Engineering
32,18,12th,56,51,95,9,7,7,7,8,2,67,Artist,Bio Art
33,18,12th,79,84,92,8,7,9,7,8,2,85,Teacher,Physical Education
34,16,12th,91,94,96,9,10,7,9,7,2,94,IT Professional,Cosmic Systems
35,16,12th,89,95,75,6,8,9,5,6,3,86,Engineer,Supreme Engineering
36,17,12th,65,63,95,10,10,6,8,9,3,74,Designer,Service Design
37,17,12th,96,106,102,9,8,9,9,7,2,103,Business,Superior Commerce
