Student_ID,Math_Score,Science_Score,English_Score,Extracurricular_Score,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Percentage,Career_Field,Subfield,Career_Subfield
1,59,65,82,10,8,6,7,6,3,74,Designer,Fashion,Designer → Fashion
2,93,85,83,4,6,10,6,9,2,78,Doctor,Cardiology,Doctor → Cardiology
3,76,63,84,7,8,8,6,6,4,73,Lawyer,Corporate Law,Lawyer → Corporate Law
4,77,84,75,7,7,7,8,9,4,78,Teacher,Elementary,Teacher → Elementary
5,67,55,95,5,6,8,6,7,5,66,Lawyer,Public Interest,Lawyer → Public Interest
6,92,73,73,6,10,7,6,5,4,77,IT Professional,Cybersecurity,IT Professional → Cybersecurity
7,92,82,67,6,10,8,8,7,7,77,IT Professional,AI/ML,IT Professional → AI/ML
8,60,63,78,9,8,6,8,9,4,70,Designer,UI/UX,Designer → UI/UX
9,76,64,87,10,8,9,10,8,4,79,Business,Entrepreneurship,Business → Entrepreneurship
10,90,89,70,6,8,9,6,7,3,80,Doctor,General Medicine,Doctor → General Medicine
11,89,79,77,4,7,9,6,5,4,74,IT Professional,Data Science,IT Professional → Data Science
12,77,93,90,5,8,9,5,10,4,79,Doctor,Cardiology,Doctor → Cardiology
13,79,90,85,8,7,8,5,8,7,84,IT Professional,Software Development,IT Professional → Software Development
14,92,70,76,4,9,6,8,6,5,73,IT Professional,Data Science,IT Professional → Data Science
15,59,68,70,9,10,7,7,6,6,70,Designer,Game Design,Designer → Game Design
16,81,72,92,8,9,9,7,9,6,81,Business,Operations,Business → Operations
17,77,99,89,4,9,9,7,10,3,79,Doctor,Orthopedics,Doctor → Orthopedics
18,61,70,78,10,10,8,8,6,5,75,Designer,Game Design,Designer → Game Design
19,100,96,65,5,9,9,5,7,5,81,Scientist,Biology,Scientist → Biology
20,90,66,79,7,7,7,8,9,4,77,Business,Management,Business → Management
21,87,74,83,6,10,9,5,8,6,77,IT Professional,UI/UX,IT Professional → UI/UX
22,80,84,85,7,10,9,7,6,6,80,IT Professional,Data Science,IT Professional → Data Science
23,79,61,82,7,6,9,8,8,3,73,Business,Finance,Business → Finance
24,82,100,79,5,6,8,7,7,2,80,Doctor,Pediatrics,Doctor → Pediatrics
25,97,96,63,4,7,8,7,7,2,79,Engineer,Electrical,Engineer → Electrical
26,82,71,98,4,9,8,6,6,6,73,Lawyer,IP Law,Lawyer → IP Law
27,85,81,70,3,9,7,5,7,6,70,Engineer,Electrical,Engineer → Electrical
28,85,98,76,6,8,10,6,7,6,82,Engineer,Computer Science,Engineer → Computer Science
29,89,96,89,6,6,10,5,8,3,86,Doctor,General Medicine,Doctor → General Medicine
30,92,98,62,7,6,7,5,8,4,83,Engineer,Mechanical,Engineer → Mechanical
31,96,88,60,7,9,10,5,7,5,81,Engineer,Chemical,Engineer → Chemical
32,55,50,83,10,10,6,6,7,7,68,Designer,Game Design,Designer → Game Design
33,80,90,77,7,8,9,5,7,5,80,Doctor,Psychiatry,Doctor → Psychiatry
34,100,100,78,5,9,8,7,6,2,86,Scientist,Research,Scientist → Research
35,85,71,79,4,9,7,4,8,5,70,IT Professional,Data Science,IT Professional → Data Science
36,90,59,89,7,6,8,7,9,5,76,Business,Operations,Business → Operations
37,79,73,80,7,7,8,8,5,6,76,Lawyer,IP Law,Lawyer → IP Law
38,88,94,75,5,8,9,6,8,5,80,Scientist,Environmental,Scientist → Environmental
39,77,75,79,10,8,7,7,6,6,81,Designer,Graphic Design,Designer → Graphic Design
40,65,70,95,9,7,7,9,6,6,78,Business,Entrepreneurship,Business → Entrepreneurship
41,74,65,91,4,8,9,8,7,3,69,Lawyer,Public Interest,Lawyer → Public Interest
42,78,93,80,5,8,8,6,9,4,77,Doctor,Pediatrics,Doctor → Pediatrics
43,86,90,78,7,9,10,8,10,4,82,Teacher,Elementary,Teacher → Elementary
44,99,91,83,6,10,7,6,8,2,85,Scientist,Data Science,Scientist → Data Science
45,80,74,75,9,8,9,9,9,3,79,Teacher,Science,Teacher → Science
46,95,94,76,4,7,8,8,7,5,79,Doctor,Neurosurgery,Doctor → Neurosurgery
47,78,60,85,4,7,10,6,7,4,67,Lawyer,Family Law,Lawyer → Family Law
48,84,85,73,5,8,8,6,7,5,75,Scientist,Data Science,Scientist → Data Science
49,64,54,81,7,9,7,7,8,5,67,Designer,Game Design,Designer → Game Design
50,100,92,66,6,8,7,4,7,3,82,Engineer,Chemical,Engineer → Chemical
51,87,69,83,7,7,7,7,7,4,77,Business,Finance,Business → Finance
52,90,80,87,6,7,7,7,9,6,81,Business,Operations,Business → Operations
53,75,69,86,6,7,8,7,6,4,72,Lawyer,Family Law,Lawyer → Family Law
54,63,63,73,9,9,6,6,7,6,70,Designer,Graphic Design,Designer → Graphic Design
55,79,69,98,8,9,8,7,5,5,80,Lawyer,Public Interest,Lawyer → Public Interest
56,75,95,73,6,6,9,5,8,4,78,Doctor,Orthopedics,Doctor → Orthopedics
57,100,98,78,3,9,8,5,7,5,82,Engineer,Electrical,Engineer → Electrical
58,98,85,63,5,8,9,6,7,5,78,Engineer,Aerospace,Engineer → Aerospace
59,95,85,73,6,10,9,7,6,4,80,Scientist,Environmental,Scientist → Environmental
60,91,95,78,7,6,9,7,7,5,85,Doctor,General Medicine,Doctor → General Medicine
61,79,77,97,6,7,9,6,6,6,79,Lawyer,Environmental Law,Lawyer → Environmental Law
62,88,88,71,6,7,7,6,7,4,78,IT Professional,Data Science,IT Professional → Data Science
63,100,97,60,5,6,8,6,8,3,82,Engineer,Mechanical,Engineer → Mechanical
64,65,80,76,9,9,9,8,9,4,77,Teacher,Science,Teacher → Science
65,70,78,84,5,8,9,6,5,5,72,Lawyer,Criminal Law,Lawyer → Criminal Law
